,study,wave,version,versn_s,doi_gesis,doi_wvsa,studytit,uniqid,intrvwr_id,cntry,cntry_an,cntrycow,year,fw_start,fw_end,cntry_y,mode,mm_mixed_mode_evs5,mm_mode_fu_evs5,mm_matrix_group_evs5,mm_fw_start_fu_evs5,mm_fw_end_fu_evs5,mm_year_fu_evs5,ivlength,ivstart,ivstend,ivdate,mm_v277_fu_evs5,mm_v278a_fu_r_evs5,mm_v279a_fu_r_evs5,lnge_num,lnge_iso,gwght,pwght,wght_eq1000,reg_nuts1,reg_nuts2,reg_iso,size_5c,respint,a001,a002,a003,a004,a005,a006,a008,a009,a170,a173,a027,a029,a030,a032,a034,a035,a038,a039,a040,a041,a042,a065,a066,a067,a068,a071,a072,a074,a078,a079,a080_01,a080_02,a124_02,a124_03,a124_06,a124_08,a124_09,a165,b008,c001,c001_01,c002,c002_01,d081,d026_03,d026_05,c038,c039,c041,d001_b,g007_18_b,g007_33_b,g007_34_b,g007_35_b,g007_36_b,d054,d059,d060,d061,d078,e001,e002,e003,e004,y002,e012,e015,e018,e023,e025,e026,e027,e028,e033,e035,e036,e037,e039,e069_01,e069_02,e069_04,e069_05,e069_06,e069_07,e069_08,e069_18a,e069_18,e069_11,e069_12,e069_13,e069_14,e069_17,e069_20,e111_01,e114,e115,e116,e117,e179_wvs7,e181_evs5,e224,e225,e226,e227,e228,e229,e233,e233a,e233b,e235,e236,e263,e264,e265_01,e265_02,e265_03,e265_04,e265_05,e265_06,e265_07,e265_08,f025,f028,f028b_wvs7,f066_evs5,f034,f050,f051,f053,f054,f063,f114a,f115,f116,f117,f118,f119,f120,f121,f122,f123,f132,e290,f144_02,g005,g006,g052,g062,g063,g255,g256,g257,h009,h010,h011,x001,x002,x003,x003r,x003r2,g027a,x002_02a,x002_02b,v002,v002a,v002a_01,v001,v001a,v001a_01,x007,x026_01,x011,x013,x025a_01,x025r,w002a_01,w002r,v004am_01,v004rm,v004af_01,v004rf,x028,w003,x052,x035_evs5,x036e_wvs7,v097ef,w005_evs5,w006e_wvs7,x047_wvs7,x047e_evs5
27088,1,5,4-0-0 (2022-12-14),5-0-0 (2022-05-16),doi:10.4232/1.14023,doi:10.14281/18241.21,EVS5,348050483,80,348,HU,310,2018,201802,201808,3482018,1,5,-3,-3,-3,-3,-3,144,14.37,17.01,20180313,-3,-3.0,-3.0,184,hu,1.22746278537521,0.534134346103038,0.660501981505945,HU1,HU11,-4,5,1,2,2,2,2,2,2,3,3,5,5,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,-2,1,3,3,1,2,3,3,3,1,2,2,1,2,2,3,2,2,3,1,2,3,3,2,3,1,2,2,1,1,1,2,2,3,2,2,5,7,4,5,6,2,2,2,-1,1,2,3,3,3,2,2,4,4,3,3,6,2,-1,4,2,-4,-2,7,8,10,8,-1,5,10,-1,5,7,7,2,1,2,4,-2,-1,2,2,-1,-2,1,7,-4,2,1,1,1,1,1,10,1,-1,1,1,2,-1,2,5,-1,1,-2,1,1,1,2,3,2,3,3,3,2,2,2,1,2,1975,43,3,2,1,348.0,HU,1,348,HU,1,348,HU,3,2,2,4,3,2,-3,-3,3,2,3,2,5,-3,2,52,-4,-1,-3,-4,-4,-2
27089,1,5,4-0-0 (2022-12-14),5-0-0 (2022-05-16),doi:10.4232/1.14023,doi:10.14281/18241.21,EVS5,348050484,80,348,HU,310,2018,201802,201808,3482018,1,5,-3,-3,-3,-3,-3,62,10.19,11.21,20180314,-3,-3.0,-3.0,184,hu,1.14717010887653,0.534134346103038,0.660501981505945,HU1,HU11,-4,5,2,1,2,2,4,1,1,1,1,9,10,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,2,5,1,1,-1,5,2,1,3,5,1,2,1,1,1,1,3,4,4,2,2,4,1,4,-1,-5,1,3,1,4,3,3,3,3,5,9,2,7,2,2,4,3,2,2,2,2,2,2,3,3,4,1,3,2,5,4,2,4,1,-4,-2,3,2,10,4,-1,10,10,1,4,10,8,3,3,-2,-2,-2,-2,-2,-2,-2,-2,2,1,-4,1,1,1,1,1,1,10,1,1,1,1,5,1,7,5,5,1,1,1,2,0,-3,2,2,-1,1,1,1,1,2,2,1,1979,39,3,2,2,145.0,145,0,586,PK,0,586,PK,-2,1,0,-2,5,3,-3,-3,4,2,4,2,1,-3,2,41,-4,-2,-3,-4,-4,10
27090,1,5,4-0-0 (2022-12-14),5-0-0 (2022-05-16),doi:10.4232/1.14023,doi:10.14281/18241.21,EVS5,348050485,51,348,HU,310,2018,201802,201808,3482018,1,5,-3,-3,-3,-3,-3,68,11.03,12.11,20180314,-3,-3.0,-3.0,184,hu,1.33443013876483,0.534134346103038,0.660501981505945,HU2,HU22,-4,1,1,1,1,2,3,1,2,1,3,5,5,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,2,1,2,4,1,1,3,2,1,2,3,4,1,1,1,1,2,2,3,3,3,3,3,3,1,1,2,2,1,1,1,4,1,2,2,3,5,1,10,5,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,1,-4,34802,5,5,10,1,1,5,10,1,1,10,5,1,1,2,2,2,1,3,3,1,3,0,6,-4,1,1,1,0,0,0,10,1,1,1,1,5,5,5,10,10,1,5,1,10,1,-2,3,4,4,2,2,1,4,4,4,1,1977,41,3,2,1,348.0,HU,1,348,HU,1,348,HU,1,1,3,5,3,2,3,2,1,1,3,2,1,5,2,31,-4,-1,51,-4,-4,7
27091,1,5,4-0-0 (2022-12-14),5-0-0 (2022-05-16),doi:10.4232/1.14023,doi:10.14281/18241.21,EVS5,348050486,12,348,HU,310,2018,201802,201808,3482018,1,5,-3,-3,-3,-3,-3,36,10.07,10.43,20180314,-3,-3.0,-3.0,184,hu,0.758527398319661,0.534134346103038,0.660501981505945,HU1,HU11,-4,5,3,2,3,2,3,2,2,3,4,6,6,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,2,-1,3,3,1,2,5,2,2,2,2,3,1,2,2,3,2,2,2,2,3,3,3,2,-1,1,3,1,0,2,1,3,3,3,3,3,8,3,-1,-1,-2,1,2,4,3,1,2,2,3,3,2,4,-1,3,3,3,-1,1,-2,3,2,-4,34803,6,6,7,8,2,4,7,3,7,6,6,2,2,-1,-1,3,3,4,2,-1,-1,1,2,-4,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,2,3,2,2,2,1,-1,2,2,1937,82,6,3,1,348.0,HU,1,348,HU,1,348,HU,5,1,2,1,3,2,-3,-3,3,2,3,2,4,-3,1,44,-4,7,-3,-4,-4,1
27092,1,5,4-0-0 (2022-12-14),5-0-0 (2022-05-16),doi:10.4232/1.14023,doi:10.14281/18241.21,EVS5,348050487,24,348,HU,310,2018,201802,201808,3482018,1,5,-3,-3,-3,-3,-3,64,17.14,18.18,20180314,-3,-3.0,-3.0,184,hu,1.05230827370782,0.534134346103038,0.660501981505945,HU1,HU11,-4,5,2,1,1,1,2,1,3,3,2,7,10,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,1,1,4,2,2,2,2,2,1,2,3,4,3,3,3,3,3,3,3,1,2,1,3,1,-1,3,1,2,3,3,3,3,6,7,1,3,3,3,3,3,4,2,1,2,3,3,2,3,3,3,2,3,9,-2,-2,4,1,-4,34802,10,5,10,10,0,-2,10,5,2,10,10,1,1,1,4,3,4,3,1,4,4,0,8,-4,7,2,1,0,0,0,5,1,3,1,1,1,1,1,8,1,1,5,1,3,1,1,1,3,2,3,3,2,2,3,3,2,1954,64,5,3,1,348.0,HU,1,348,HU,1,348,HU,3,1,1,1,3,2,-3,-3,3,2,3,2,3,-3,-3,41,-4,5,-3,-4,-4,-2
27093,1,5,4-0-0 (2022-12-14),5-0-0 (2022-05-16),doi:10.4232/1.14023,doi:10.14281/18241.21,EVS5,348050488,4,348,HU,310,2018,201802,201808,3482018,1,5,-3,-3,-3,-3,-3,69,8.24,9.33,20180314,-3,-3.0,-3.0,184,hu,2.04720223862605,0.534134346103038,0.660501981505945,HU3,HU32,-4,1,2,1,1,1,2,2,2,3,4,4,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,-1,1,2,2,2,4,1,1,2,2,-1,-1,2,4,4,2,3,3,2,3,2,2,-1,2,1,3,3,3,3,3,3,5,5,10,-1,-1,-1,4,-1,3,3,-1,-1,-1,4,4,-1,3,3,-1,1,4,1,4,1,-4,34801,10,1,10,10,-1,10,10,5,5,10,3,2,2,4,1,1,2,3,2,1,2,0,4,-4,7,2,0,0,0,0,1,1,5,1,5,-1,1,5,5,8,1,5,1,5,1,2,2,-1,2,2,2,2,2,4,4,2,1955,63,5,3,1,348.0,HU,1,348,HU,1,348,HU,1,1,1,2,2,1,2,1,2,1,2,1,8,4,2,75,-4,9,62,-4,-4,2
27094,1,5,4-0-0 (2022-12-14),5-0-0 (2022-05-16),doi:10.4232/1.14023,doi:10.14281/18241.21,EVS5,348050489,7,348,HU,310,2018,201802,201808,3482018,1,5,-3,-3,-3,-3,-3,51,9.0,9.51,20180314,-3,-3.0,-3.0,184,hu,1.25297148683921,0.534134346103038,0.660501981505945,HU1,HU11,-4,5,3,2,3,2,4,2,4,2,3,7,4,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,2,1,2,3,2,1,1,2,1,1,2,1,2,2,2,1,3,3,2,3,1,2,1,3,1,0,3,3,4,3,3,3,3,5,8,5,4,5,4,2,3,3,2,3,2,3,3,3,4,3,3,2,3,3,3,2,4,2,-4,-2,9,5,9,5,7,6,6,5,3,8,5,1,1,2,-1,4,2,4,2,-1,-1,0,7,-4,7,3,0,0,0,0,2,3,7,3,5,5,5,6,6,4,1,6,1,4,1,1,2,3,4,1,1,2,2,4,4,1,1963,55,5,3,1,348.0,HU,1,348,HU,1,348,HU,3,1,1,1,3,2,-3,-3,2,1,3,2,1,-3,2,54,-4,7,-3,-4,-4,2
27095,1,5,4-0-0 (2022-12-14),5-0-0 (2022-05-16),doi:10.4232/1.14023,doi:10.14281/18241.21,EVS5,348050490,4,348,HU,310,2018,201802,201808,3482018,1,5,-3,-3,-3,-3,-3,56,10.02,10.58,20180314,-3,-3.0,-3.0,184,hu,0.871082986732548,0.534134346103038,0.660501981505945,HU3,HU32,-4,1,3,1,1,1,-1,1,4,1,3,8,7,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,-1,-1,1,2,-1,2,2,3,2,4,1,1,2,3,-1,-1,2,-1,3,-1,-1,3,1,1,3,1,-1,2,1,3,3,3,3,3,-1,8,5,7,4,3,4,3,3,2,3,3,3,3,3,3,2,2,2,2,4,3,2,4,2,-4,-1,7,1,10,8,8,-1,10,10,7,8,-1,1,1,2,-1,2,-1,3,3,-1,-1,0,7,-4,7,2,-1,0,0,-1,5,5,3,4,-1,3,1,1,5,-1,1,1,1,1,1,2,-1,3,2,2,3,2,2,3,3,2,1996,22,1,1,1,348.0,HU,1,348,HU,1,348,HU,6,2,0,4,3,2,-3,-3,3,2,3,2,1,-3,2,33,-4,7,-3,-4,-4,2
27096,1,5,4-0-0 (2022-12-14),5-0-0 (2022-05-16),doi:10.4232/1.14023,doi:10.14281/18241.21,EVS5,348050491,7,348,HU,310,2018,201802,201808,3482018,1,5,-3,-3,-3,-3,-3,44,10.49,11.33,20180314,-3,-3.0,-3.0,184,hu,0.983473072507097,0.534134346103038,0.660501981505945,HU1,HU11,-4,5,1,1,2,1,1,2,3,2,2,8,10,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,2,2,4,2,4,2,4,4,4,1,1,1,2,2,2,2,3,3,2,3,1,4,2,4,3,0,1,2,1,2,2,2,2,5,10,5,5,5,4,3,1,2,1,1,1,1,1,2,2,2,1,1,1,4,4,1,4,1,-4,-2,5,1,10,10,1,10,10,1,1,10,5,2,2,2,4,2,4,3,1,4,4,0,8,-4,7,3,0,0,0,0,1,1,5,1,1,5,5,10,5,5,1,5,1,1,1,2,3,1,2,2,2,1,2,4,3,1,1958,60,5,3,1,348.0,HU,1,348,HU,1,348,HU,1,1,3,5,7,3,3,2,7,3,7,3,1,8,1,33,-4,1,51,-4,-4,10
27097,1,5,4-0-0 (2022-12-14),5-0-0 (2022-05-16),doi:10.4232/1.14023,doi:10.14281/18241.21,EVS5,348050492,52,348,HU,310,2018,201802,201808,3482018,1,5,-3,-3,-3,-3,-3,41,12.21,13.02,20180314,-3,-3.0,-3.0,184,hu,0.895818541656357,0.534134346103038,0.660501981505945,HU2,HU22,-4,3,1,1,1,2,3,1,3,1,3,6,10,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,1,1,3,4,2,1,1,1,1,1,1,2,2,2,1,2,4,1,4,3,1,1,4,2,1,3,1,2,3,3,3,3,5,10,1,1,1,3,1,4,2,1,2,2,3,3,2,3,3,2,2,3,6,4,4,4,1,-4,-1,10,1,10,10,1,10,10,1,1,10,10,1,1,1,4,4,4,4,1,4,4,0,8,-4,3,2,1,0,0,0,6,1,1,1,1,1,1,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1946,72,6,3,1,348.0,HU,1,348,HU,1,348,HU,1,1,2,2,3,2,3,2,2,1,2,1,4,4,1,54,-4,7,52,-4,-4,2
27098,1,5,4-0-0 (2022-12-14),5-0-0 (2022-05-16),doi:10.4232/1.14023,doi:10.14281/18241.21,EVS5,348050493,16,348,HU,310,2018,201802,201808,3482018,1,5,-3,-3,-3,-3,-3,368,12.41,18.49,20180314,-3,-3.0,-3.0,184,hu,0.758527398319661,0.534134346103038,0.660501981505945,HU1,HU11,-4,5,1,1,1,2,1,3,1,2,2,10,5,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,4,2,1,2,1,1,1,2,1,2,2,2,1,2,2,2,1,2,1,1,2,2,0,3,1,1,1,3,2,3,10,8,6,1,5,2,2,2,2,2,2,1,3,3,1,2,2,3,2,4,8,4,3,4,1,-4,34802,10,7,10,10,1,10,10,3,10,10,10,1,1,1,4,3,-1,4,1,2,3,1,4,-4,1,1,1,1,0,1,10,1,1,1,1,1,1,5,5,1,1,1,1,6,1,1,2,1,2,1,1,1,2,2,4,2,1937,82,6,3,1,348.0,HU,1,348,HU,1,348,HU,1,1,2,2,3,2,5,3,3,2,7,3,4,4,1,32,-4,1,25,-4,-4,8
27099,1,5,4-0-0 (2022-12-14),5-0-0 (2022-05-16),doi:10.4232/1.14023,doi:10.14281/18241.21,EVS5,348050494,52,348,HU,310,2018,201802,201808,3482018,1,5,-3,-3,-3,-3,-3,37,13.21,13.58,20180314,-3,-3.0,-3.0,184,hu,1.25820926757249,0.534134346103038,0.660501981505945,HU2,HU22,-4,3,2,1,2,3,4,3,4,2,4,3,4,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,5,1,2,-1,2,5,1,1,3,1,2,2,2,2,2,2,4,4,2,4,4,1,1,4,2,0,3,1,4,3,3,3,3,6,10,6,6,1,3,-1,-1,-1,2,-1,2,-1,-1,-1,-1,-1,2,2,-1,-1,4,-1,4,1,-4,-2,6,1,10,7,7,7,10,1,10,10,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,8,-4,1,2,1,0,0,0,9,1,-1,1,1,-1,1,5,10,6,5,-1,1,4,1,1,-1,2,2,1,2,1,2,3,3,2,1937,82,6,3,1,348.0,HU,1,348,HU,1,348,HU,5,1,1,2,1,1,-3,-3,1,1,1,1,4,-3,-1,96,-4,9,-3,-4,-4,1
27100,1,5,4-0-0 (2022-12-14),5-0-0 (2022-05-16),doi:10.4232/1.14023,doi:10.14281/18241.21,EVS5,348050495,7,348,HU,310,2018,201802,201808,3482018,1,5,-3,-3,-3,-3,-3,46,14.07,14.53,20180314,-3,-3.0,-3.0,184,hu,0.96345097202997,0.534134346103038,0.660501981505945,HU1,HU11,-4,5,2,1,1,1,2,1,2,2,2,8,8,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,2,5,1,1,3,4,1,2,1,4,1,1,2,2,3,2,1,4,3,3,4,1,3,2,1,2,1,1,1,2,2,3,3,3,5,5,3,5,3,2,2,3,2,2,3,2,1,1,2,3,2,2,2,1,3,3,2,3,2,-4,34802,8,3,10,9,8,10,10,4,6,9,3,1,1,2,2,1,2,1,2,2,3,0,6,-4,6,1,1,1,1,1,6,1,4,1,1,7,1,9,5,5,3,2,1,4,1,1,1,2,2,2,1,3,2,4,4,2,1981,37,3,2,1,348.0,HU,1,348,HU,1,348,HU,1,2,1,4,7,3,5,3,6,3,6,3,1,1,2,33,-4,2,11,-4,-4,10
27101,1,5,4-0-0 (2022-12-14),5-0-0 (2022-05-16),doi:10.4232/1.14023,doi:10.14281/18241.21,EVS5,348050496,56,348,HU,310,2018,201802,201808,3482018,1,5,-3,-3,-3,-3,-3,56,16.32,17.28,20180314,-3,-3.0,-3.0,184,hu,1.27463156591058,0.534134346103038,0.660501981505945,HU2,HU23,-4,4,2,2,2,2,4,2,2,4,5,1,4,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,2,4,1,1,2,3,3,1,1,1,3,3,3,4,3,4,2,3,2,1,3,2,2,0,1,1,2,3,3,3,3,6,3,5,6,-1,3,3,3,3,3,3,2,2,2,3,4,2,2,2,2,3,3,3,3,2,-4,34802,8,4,5,8,3,3,8,8,5,10,4,1,1,1,4,1,4,1,1,3,4,0,8,-4,1,1,1,1,0,1,10,1,2,1,2,5,2,2,6,2,2,5,2,2,1,1,2,2,2,2,2,2,4,4,4,2,1972,46,4,2,1,348.0,HU,1,348,HU,1,348,HU,6,1,3,5,2,1,-3,-3,2,1,2,1,7,-3,2,93,-4,-2,-3,-4,-4,1
27102,1,5,4-0-0 (2022-12-14),5-0-0 (2022-05-16),doi:10.4232/1.14023,doi:10.14281/18241.21,EVS5,348050497,85,348,HU,310,2018,201802,201808,3482018,1,5,-3,-3,-3,-3,-3,42,19.07,19.49,20180314,-3,-3.0,-3.0,184,hu,1.08906975938267,0.534134346103038,0.660501981505945,HU1,HU12,-4,3,2,1,1,1,4,2,4,3,3,3,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,2,5,1,2,3,2,2,1,1,1,1,2,3,3,2,2,1,3,3,3,3,3,1,4,2,3,1,2,2,3,1,3,1,3,8,5,1,10,1,2,4,4,2,2,3,2,3,3,3,3,2,2,2,2,5,4,2,4,2,-4,34802,10,5,10,10,1,10,10,10,10,10,5,1,1,2,3,2,4,3,2,4,4,0,6,-4,5,1,1,1,1,1,7,1,5,1,1,1,1,1,5,1,1,1,1,5,1,1,2,3,3,2,2,2,1,1,3,2,1975,43,3,2,1,348.0,HU,1,348,HU,1,348,HU,2,1,1,3,4,2,4,2,2,1,4,2,7,1,1,53,-4,7,74,-4,-4,-2
27103,1,5,4-0-0 (2022-12-14),5-0-0 (2022-05-16),doi:10.4232/1.14023,doi:10.14281/18241.21,EVS5,348050498,52,348,HU,310,2018,201802,201808,3482018,1,5,-3,-3,-3,-3,-3,46,15.2,16.06,20180314,-3,-3.0,-3.0,184,hu,0.824629335778373,0.534134346103038,0.660501981505945,HU2,HU22,-4,3,1,1,1,3,4,1,2,1,3,10,10,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,-1,-1,1,1,1,1,5,1,2,1,1,1,1,1,1,3,2,2,1,1,2,4,1,3,4,4,3,2,1,3,1,4,3,3,3,3,-2,-2,1,-2,-2,1,1,4,4,4,3,2,3,3,1,2,3,2,2,3,10,-1,-1,4,-1,-4,-2,5,1,10,10,1,10,10,1,10,10,10,1,1,1,4,-2,4,-1,1,4,4,1,3,-4,3,1,1,1,0,0,10,1,6,1,1,9,-1,9,8,10,10,10,1,3,1,1,1,2,2,1,1,1,-1,-1,4,1,1941,77,6,3,1,348.0,HU,1,348,HU,1,348,HU,1,1,2,2,3,2,2,1,2,1,2,1,4,4,1,81,-4,8,93,-4,-4,2
27104,1,5,4-0-0 (2022-12-14),5-0-0 (2022-05-16),doi:10.4232/1.14023,doi:10.14281/18241.21,EVS5,348050499,51,348,HU,310,2018,201802,201808,3482018,1,5,-3,-3,-3,-3,-3,62,14.13,15.15,20180314,-3,-3.0,-3.0,184,hu,0.960798442063944,0.534134346103038,0.660501981505945,HU2,HU22,-4,1,1,1,1,1,4,2,1,3,2,5,5,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,1,1,1,1,1,4,2,1,1,1,3,1,1,2,3,3,3,2,2,3,2,3,2,1,4,1,2,1,3,3,4,1,3,3,3,5,4,5,3,5,2,2,3,3,1,2,2,3,3,2,4,3,3,2,3,4,4,1,4,1,-4,34802,1,1,10,5,1,1,10,5,1,10,4,1,1,3,3,3,4,3,1,1,3,0,8,-4,1,1,1,1,0,1,4,1,8,1,1,1,1,2,2,4,1,1,1,10,1,1,3,3,3,1,1,1,4,4,4,2,1963,55,5,3,1,348.0,HU,1,348,HU,1,348,HU,5,2,1,3,3,2,-3,-3,2,1,2,1,1,-3,2,51,-4,8,-3,-4,-4,5
27105,1,5,4-0-0 (2022-12-14),5-0-0 (2022-05-16),doi:10.4232/1.14023,doi:10.14281/18241.21,EVS5,348050500,51,348,HU,310,2018,201802,201808,3482018,1,5,-3,-3,-3,-3,-3,61,12.45,13.46,20180314,-3,-3.0,-3.0,184,hu,1.74551904816549,0.534134346103038,0.660501981505945,HU2,HU22,-4,1,1,1,1,1,2,1,1,2,2,8,5,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,1,3,3,1,1,5,1,1,1,1,1,1,2,2,3,2,3,2,3,3,2,3,2,1,1,2,2,1,1,1,2,1,2,3,3,10,5,5,1,5,3,2,4,3,2,4,3,3,3,1,4,4,4,2,4,5,4,1,4,1,-4,34802,1,1,10,8,1,10,10,2,5,10,5,1,1,1,2,1,1,4,2,3,3,1,3,-4,3,1,1,0,0,1,8,1,1,1,1,5,1,5,5,8,1,6,1,10,1,1,1,2,2,1,2,1,1,3,4,2,1955,63,5,3,1,348.0,HU,1,348,HU,1,348,HU,3,1,2,2,2,1,-3,-3,2,1,1,1,4,-3,1,92,-4,9,-3,-4,-4,3
27106,1,5,4-0-0 (2022-12-14),5-0-0 (2022-05-16),doi:10.4232/1.14023,doi:10.14281/18241.21,EVS5,348050501,41,348,HU,310,2018,201802,201808,3482018,1,5,-3,-3,-3,-3,-3,34,14.24,14.58,20180315,-3,-3.0,-3.0,184,hu,0.900696879523264,0.534134346103038,0.660501981505945,HU3,HU33,-4,4,2,1,2,1,3,1,3,2,2,8,8,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,1,1,3,3,3,3,3,2,1,2,2,3,2,3,2,2,4,4,2,1,2,3,1,1,1,1,2,3,3,3,3,3,6,6,5,5,1,4,2,3,4,2,2,2,3,3,2,2,3,4,4,3,7,3,2,2,1,-4,34804,10,1,10,6,6,5,1,10,5,7,7,2,2,1,4,2,3,2,3,4,4,0,8,-4,7,2,0,0,0,0,1,5,6,5,10,1,1,5,3,1,1,5,-1,-1,1,1,1,3,4,2,2,2,2,3,2,1,1965,53,4,3,1,348.0,HU,1,348,HU,1,348,HU,1,3,1,4,3,2,3,2,2,1,3,2,1,1,2,51,-4,7,51,-4,-4,6
27107,1,5,4-0-0 (2022-12-14),5-0-0 (2022-05-16),doi:10.4232/1.14023,doi:10.14281/18241.21,EVS5,348050502,57,348,HU,310,2018,201802,201808,3482018,1,5,-3,-3,-3,-3,-3,52,13.42,14.34,20180315,-3,-3.0,-3.0,184,hu,0.584287750723794,0.534134346103038,0.660501981505945,HU2,HU23,-4,1,3,1,1,1,3,2,3,1,2,10,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,2,4,1,2,4,2,3,2,2,2,2,2,2,2,2,2,2,3,3,2,3,1,3,2,1,2,1,3,-1,3,3,3,3,3,1,10,5,10,1,4,4,3,3,3,3,3,3,3,3,4,3,3,3,3,1,3,3,3,3,-4,34802,5,5,5,5,5,5,10,4,5,10,1,2,2,3,3,3,2,3,3,2,2,0,4,-4,1,1,1,0,0,0,10,7,1,4,4,1,3,1,4,7,1,1,1,1,1,1,3,2,2,2,2,2,2,3,2,1,1999,19,1,1,1,348.0,HU,1,348,HU,1,348,HU,6,2,0,3,3,2,-3,-3,2,1,2,1,1,-3,2,93,-4,8,-3,-4,-4,-1
27108,1,5,4-0-0 (2022-12-14),5-0-0 (2022-05-16),doi:10.4232/1.14023,doi:10.14281/18241.21,EVS5,348050503,58,348,HU,310,2018,201802,201808,3482018,1,5,-3,-3,-3,-3,-3,49,11.17,12.06,20180315,-3,-3.0,-3.0,184,hu,0.835392496819637,0.534134346103038,0.660501981505945,HU2,HU23,-4,1,1,1,3,2,2,2,2,2,3,7,7,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3,3,4,1,5,2,2,2,1,2,2,2,2,3,2,1,1,1,1,3,2,2,1,2,1,3,3,3,2,3,1,3,1,10,10,1,1,3,1,3,3,3,3,2,3,3,2,3,2,3,3,3,1,2,2,3,4,-4,-1,10,10,6,1,1,10,1,10,10,5,-2,1,1,1,3,1,3,3,3,3,3,0,7,-4,7,1,1,1,1,1,5,1,4,6,6,6,6,5,6,6,5,4,5,5,1,2,3,3,3,3,1,3,1,2,2,1,1964,54,4,3,1,348.0,HU,1,348,HU,1,348,HU,1,1,2,4,3,2,3,2,3,2,3,2,1,1,1,51,-4,3,75,-4,-4,5
27109,1,5,4-0-0 (2022-12-14),5-0-0 (2022-05-16),doi:10.4232/1.14023,doi:10.14281/18241.21,EVS5,348050504,26,348,HU,310,2018,201802,201808,3482018,1,5,-3,-3,-3,-3,-3,46,10.23,11.09,20180315,-3,-3.0,-3.0,184,hu,0.916528082330675,0.534134346103038,0.660501981505945,HU3,HU31,-4,3,1,1,2,2,2,2,1,2,3,8,10,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,4,1,1,4,4,4,1,1,4,1,1,2,2,2,2,3,3,3,2,3,3,4,3,1,1,1,3,1,2,2,2,2,3,1,6,5,5,5,1,2,3,4,2,4,2,3,3,4,4,3,3,3,2,1,3,1,3,1,-4,-2,8,5,8,5,5,7,10,5,5,8,1,2,2,3,2,2,2,3,2,2,2,2,3,-4,2,1,1,0,0,0,10,1,8,1,2,2,8,10,8,5,5,5,8,8,1,1,2,2,2,2,2,2,3,3,3,2,1961,57,5,3,1,348.0,HU,1,348,HU,1,348,HU,3,1,2,2,3,2,-3,-3,1,1,2,1,1,-3,2,52,-4,10,-3,-4,-4,1
